"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Taguig, Philippines",Philippines,Male,College degree,"Codecademy, Coursera, Datacamp, edX, Khan Academy, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,. ,na,,None,-, ,NONE,none,na,-,-,not applicable,., ,not applicable,NONE,na,NONE,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, R","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.",None,"AI Pilipinas, Analytics Association of the Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated)",none,not applicable,So far all are suffcient,_,na,21
SAN JOSE CITY,Philippines,Prefer not to say,Master's degree,"SoloLearn, Youtube bootcamp",Education,Freelance,Work city same as residence,Mabalacat,"15,000 and below",Contract fixed timeline,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Data Analyst, Developer",1 - Just me,,Pandas,,,Power BI,,,,,PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",SQL,"Chatgpt, Copilot",not applicable,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, DevOps Philippines, She loves data","Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",not applicable,LinkedIn,not applicable,21
"Quezon City, Philippines",Philippines,Female,College degree,"Coursera, Datacamp",Social Welfare and Development,Professional,Work city same as residence,Quezon City,"b.125,001 to 250, 000",Contract fixed timeline,100% onsite,Management,"Data Analyst, Data Governance Lead",2 to 3,Don't know,Pandas,na,none,Power BI,,,,Microsoft Azure,not applicable,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Slack","Javascript, Python, R","Chatgpt, Copilot",_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",NONE,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",_,"LinkedIn, Indeed",na,30
"Manila, Philippines",Philippines,Male,Master's degree,"Codecademy, Coursera, Datacamp, Freecodecamp, HackerRank, LeetCode, LinkedIn Learning, MicrosoftLearn, Pluralsight, SoloLearn, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city same as residence,Intramuros Manila,"a.100,001 to 125,000",Full-time,100% onsite,Software Engineer,"Data Engineer, Data Scientist, Software Engineer, UI/UX Designer",30+,,, _,not applicable,,,,,Oracle,Oracle,"Excel, Google Drive, Trello, Zoom, Google Meet, Discord","Javascript, SQL, C#","Chatgpt, Copilot, Gemini, Github copilot",NONE,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Manila, Data Science Philippines, DEVCON Community Group, DEVCON Philippines, Programmers,Developers, Software DevOps & Data","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",Face to face gathering,"LinkedIn, Indeed, Upwork, My network  - people I know",Local employer,25
" Catbalogan, Philippines ",Philippines,Female,College degree,"AWS Cloud Certification, Codecademy, SoloLearn, Udemy, W3Schools",Healthcare,Professional,Work city same as residence,Catbalogan City ,"15,000 and below",Full-time,100% onsite,Developer,Software Engineer,1 - Just me,,,,,,"None, ",,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure","MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord",SQL,"Chatgpt, Claude, Copilot, Gemini, Github copilot",Google Cloud Vertex AI Workbench,laptop,"No, I just found out now.","No, I just browsed through.","Artificial Intelligence Philippines, DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines", , _,None,"LinkedIn, Upwork",Local employer,31
"Antipolo, Philippines",Philippines,Female,College degree,Not currently using any digital tools for learning,Process Control Systems ,Student/ New grad/ Career Break,-,. ,, _,na,_,_,.,.,None,. ,.,not applicable, ,not applicable,.,None,. ,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet",NONE,"Chatgpt, Gemini","IBM Watson Studio, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.","SPARTA PH: Data Engineer, UP AI",Upskill / Skill acquisition, _, _,. ,Local employer,28
"Bacoor City,Cavite",Philippines,Male,College degree,Not currently using any digital tools for learning,"Undergraduate student in BS Psychology, Minor in Data Science and Analytics",Professional,Work city different from residence,"Manila, Philippines","35,001 to 45,000",-,,Software Engineer,"Data Analyst, Developer",2 to 3,Talend,Informatica,Oracle,,"Power BI, SAP Bobj",Don't know,Don't know,Don't know,"Microsoft Azure, Databricks","Oracle Database, SAP HANA","Excel, OneDrive, MS Teams, Sharepoint","Python, R, SQL","Chatgpt, Copilot",_,Laptop and deskptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Project SPARTA, UP NEC","Career advancement, Continued learning", _,,My network  - people I know,National Government Agency ,34
"Pampanga, Philippines",Philippines,Male,College degree,"Coursera, LinkedIn Learning, Udemy",Not working,Student/ New grad/ Career Break,. ,na,, ,_,not applicable,.,na,None, ,not applicable,/,-,not applicable,None,NONE,na,none,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Javascript,"Chatgpt, Gemini",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Datasense Philippines, Eskwelabs Data Science Aral-Aral Group","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",/,none,Still looking for one,50
Camarines Sur,Philippines,Prefer not to say,College degree,"AWS Cloud Certification, Coursera, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,.,-,,/,-,_,na,-, _,.,None,. ,.,-, ,.,_,. ,"Google sheets, Google Drive, Zoom, Google Meet, Discord","Python, SQL",Chatgpt,na,laptop,"No, I just found out now.", ,"Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, DEVCON Philippines, Power BI Philippines UG",Continued learning,Answer surveys,Game or mini competition. short bootcamps,na,NONE,20
"Manila, Philippines",Philippines,LGBTQ+,PhD degree,"AWS Cloud Certification, Codecademy, SoloLearn, Udemy, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,.,_,,NONE,.,-,.,_,na,na,-,not applicable,None,/,not applicable,.,. , ,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord",SQL,"Chatgpt, Claude, Copilot, Gemini, Github copilot", _,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, DevOps Philippines, Programmers,Developers","Continued learning, Decision to shift, Upskill / Skill acquisition, Network",-,"To improve communication in the group, establish regular check-ins with clear agendas and use unified communication tools like Slack or Trello for organized, centralized discussions. Encourage open dialogue through regular feedback loops and anonymous feedback options to address concerns and suggestions. Additionally, ensure transparency by sharing meeting notes and making relevant documents easily accessible to all team members.",NONE,Local employer,34
Doha,Qatar,Female,,"edX, Udemy",Not working,Career shifter,Work city different from residence,BGC,"b.125,001 to 250, 000",Full-time,Hybrid,Academic,Developer,11 to 30,Don't know,"Pandas, Don't know",Don't know,Don't know,,Don't know,,,"Microsoft Azure, Snowflake",Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","R, VBA","Chatgpt, Copilot, Humanize.ai",NONE,laptop,"No, I just found out now.","Yes, I have used at least one resource.",,"Career advancement, Upskill / Skill acquisition",Answer surveys, ,LinkedIn,_,41
"Manila, Philippines",Philippines,Female,College degree,"edX, Udemy",Education,Student/ New grad/ Career Break,-, _,,/,. ,not applicable,none, _, , _,/, _,/,na,-,-,none,.,"Google sheets, Excel, Google Drive, Google Meet, Notion",,"Chatgpt, Copilot, Humanize.ai",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Analytics for Pinoys, AWS AI/ML, Big Data Analytics PH, Data Science Philippines Discussion Group (Moderated), Data Science World - R & Python Free Courses, Databeers Manila, DataScience.PH, Datasense Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Lead a study group, Volunteer for group initiatives","I cannot think of any more ways since the Page, the Group and there are channels/Community Chats in the Messenger that I sometimes open so that I can read and learn those who are having a problem and those who are giving solutions to it.",None,Multinational employer,23
"Taguig, Philippines",Philippines,Female,College degree,Not currently using any digital tools for learning,Electric Utility,Student/ New grad/ Career Break,not applicable,_,,_, ,/,not applicable,none,/, ,_,none,not applicable,None,none,-,_,not applicable,"Google sheets, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, R, SQL",Chatgpt,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",.,Upskill / Skill acquisition,"Answer surveys, Connect with sponsors",not applicable, ,Local employer,32
Pangasinan,Philippines,Prefer not to say,College degree,"Cisco, Cybrary, SoloLearn",Education,Student/ New grad/ Career Break,na, _,,None,_,_, _, ,.,none, ,None,none,NONE,_,.,-,na,"Excel, Discord","Javascript, Python, SQL",Chatgpt,"Kaggle Notebooks, PythonAnywhere Jupyter Notebook",desktop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines Discussion Group (Moderated), Project SPARTA",Upskill / Skill acquisition,"Answer surveys, Connect with sponsors",NONE, _,N/a,24
"Quezon City, Philippines",Philippines,Male,,"Kaggle Online course, Khan Academy, LeetCode, Youtube bootcamp",Not working,Student/ New grad/ Career Break,none,not applicable,,NONE,na,NONE,none,.,na, _, _,none,not applicable,none, _,., ,na,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Python, R, SQL","Chatgpt, Copilot, Gemini","Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",Datasense Philippines,"Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",not applicable,none,_,22
"Pasig, Philippines",Philippines,Female,College degree,Youtube bootcamp,Not working,Career shifter, ,Calamba laguna,"c.250,001 and above",Full-time,100% onsite,trader,Data Analyst, ,,,,na,,N.A,"Monte Carlo Data, Datafold",Dataworld,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","No, I do not use AI currently",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Java User Group Philippines, Python Philippines","Career advancement, Decision to shift","Answer surveys, Connect with sponsors, Coordinate during events, Volunteer to speak in events",.,Indeed,Multinational employer,29
Gingoog City,Philippines,Male,College degree,"Udemy, W3Schools",Not working,Professional,Work city different from residence,Gingoog City,"15,000 and below",Internship,Unemployed as of the moment,Data Engineer,Management,30+,not applicable,-,not applicable, ,/,"Spark, Python",Monte Carlo Data,Don't know,, ,"Google sheets, Excel, Google Drive, Zoom, Discord",SQL,"No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.",_,"Community: SPARTA PH, Data Analytics Philippines, PizzaPy - Cebu Python Users Group, Project SPARTA, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Resource for specific topic",Active listening,My network  - people I know,Local employer,20
"Makati, Philippines",Philippines,Male,Other - specify,Coursera,"IT, BPO, and Business Services",Student/ New grad/ Career Break, ,na,,. ,-, ,not applicable, _,not applicable,None,NONE,-,NONE,. ,none,. , , _,"Google sheets, Excel, Google Drive, MS Teams, Google Meet",none,Chatgpt,Google Cloud Vertex AI Workbench,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data and Analytics Manila, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Project SPARTA, PyData Philippines, Python Philippines, Robotic Process Automation (RPA) - Manila",/,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training",/,. ,Local employer,20
.. ,Egypt,Male,College degree,Datacamp,Agriculture,Student/ New grad/ Career Break,na,not applicable,,none, ,. ,/,.,not applicable, _, ,.,NONE,.,none,not applicable,na, _,"Google sheets, Excel, Google Drive, Trello, Google Meet, Discord","DAX (Power BI), Python, SQL, VBA",Chatgpt,"Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",Data Science Philippines,"Career advancement, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",You can initiate more online events that are activities focused.,. ,NONE,26
"Cavite, Philippines",Philippines,Male,College degree,"Datacamp, Udemy, Youtube bootcamp",Energy,Career shifter,Work city different from residence,,"15,001 to 25,000",Other - specify,,Civil Engineer,Quantity Surveyor,2 to 3,,,,Don't know,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams","Python, SQL",Copilot,None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG",Career advancement,"Answer surveys, Lead a study group, Mentor, Co-training/ Training",,Jobstreet,Local employer,28
"Bacoor City, Philippines",Philippines,Prefer not to say,Other - specify,"Datacamp, Udemy",Real estate,Professional,Work city same as residence,Makati City,"15,001 to 25,000",Full-time,Hybrid,Data Engineer,"Data Engineer, Data Analyst, Data Scientist, DB Admin",11 to 30,_,Power Query,,,"Power BI, Tableau",,Don't know,Don't know,-,Oracle Database,"Excel, OneDrive, MS Teams",Python,,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Java User Group Philippines, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups","Nothing, but more or like be friendly to newbies. I once got intimidated by those who are answering. ""All links are there just find it"" like dude I just got here","LinkedIn, My network  - people I know",Local employer,29
"Tinambac, Camarines Sur, Bicol, Philippines",Philippines,Male,College degree,"Cisco, Datacamp, Freecodecamp, SoloLearn",Not working,Student/ New grad/ Career Break,-,-,,na, _,_,None,. ,na,., _,none,not applicable, , _, _, _,None,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Gemini, Perplexity, Github copilot","Kaggle Notebooks, Colab Notebooks",desktop,"No, I just found out now.",. ,Data Analytics Philippines,not applicable,"Answer surveys, Connect with sponsors, Joint initiative with other groups","I think the group provides accessible communication among its members, so there is none at the moment.",-,. ,24
"Manila, Philippines",Philippines,Male,,"Not currently using any digital tools for learning, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"a.100,001 to 125,000",Full-time,Hybrid,Data Analyst,Data Scientist,2 to 3,,,"Azure Synapse, Databricks","Airflow, AWS Step Functions","Power BI, ",,,,,/,"Excel, MS Teams","DAX (Power BI), M language (Power Query)","No, I do not use AI currently",not applicable,laptop,"No, I just found out now.","No, I just browsed through.",AI Pilipinas,"Career advancement, Continued learning, Decision to shift",Mentor,,OnlineJobs.ph,Multinational employer,39
"Bulacan, Philippines",Philippines,Male,College degree,"Udemy, W3Schools",Not working,Student/ New grad/ Career Break,NONE,NONE,,NONE,/,none,na,none,. ,not applicable,None,None,. ,na,-,not applicable,.,none,"Excel, Google Drive, MS Teams, Google Meet, Discord","SQL, C++","No, I do not use AI currently",none,. ,"No, I just found out now.","No, I just browsed through.",AI Pilipinas,Continued learning,"Answer surveys, Joint initiative with other groups, Resource for specific topic",/,. ,Multinational employer,31
"Quezon City, Philippines",Philippines,LGBTQ+,Secondary school student,"AWS Cloud Certification, Coursera, Datacamp, MicrosoftLearn, W3Schools",Housing,Student/ New grad/ Career Break,_,NONE,,none,None,.,/, _,_,na,na,na,. ,na,none,-,NONE,. ,"Google sheets, Excel, Google Drive, OneDrive, Trello, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Copilot","Colab Notebooks, PythonAnywhere Jupyter Notebook",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Big Data Analytics PH, Data Analytics Philippines","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",Provide testimonies.,_,not applicable,23
"Lipa City, Philippines",Zimbabwe,Male,Master's degree,"Datacamp, LeetCode, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"55,001 to 65,000",Full-time,Hybrid,Data Analyst,Data Analyst,6 to 10,.,. ,"Azure Synapse, Databricks",,"Power BI, Tableau",,Don't know,,,. ,"Excel, OneDrive, MS Teams, Slack",SQL,"No, I do not use AI currently",na,Remote Servers,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Power Apps Pilipinas Community, Power BI Philippines UG",Not a member. Not interested to join thr FB group,Answer surveys,More meetups,"My network  - people I know, Facebook groups",Multinational employer,32
"Manila, Philippines",Philippines,LGBTQ+,,oreilly books,fintech,Career shifter,_,"Ortigas, Quezon City","25,001 to 35,000",Internship,online,Process Executive (Agent),Process Executive (Agent),2 to 3,Don't know,,,,,/,/,,Databricks,,"Google sheets, Google Meet","Python, SQL",Chatgpt,none,desktop,"No, I just found out now.", ,,"Continued learning, Upskill / Skill acquisition, Network, Build confidence in Public Speaking",Answer surveys, ,My network  - people I know,Local employer,26
